Optimizer,objfname,startTime,EndTime,ExecutionTime,Iter1,Iter2,Iter3,Iter4,Iter5
SMO,F1,2020-03-15-22-32-02,2020-03-15-22-32-02,0.10115456581115723,54497.516465265195,32535.316955046103,13397.0674470548,13117.95097300255,13117.95097300255
SMO,F1,2020-03-15-22-32-02,2020-03-15-22-32-02,0.0439145565032959,36309.03512192322,34705.01472926648,32435.21944372561,32435.21944372561,21704.890866780446
